First_Node,Second_Node
0,1
0,2
0,3
0,4
0,5
0,6
0,8
0,9
0,10
0,14
0,16
0,25
0,28
0,29
0,84
0,85
0,86
0,87
0,88
0,89
0,90
0,99
1,2
1,3
1,4
1,5
1,6
1,7
1,8
1,9
1,10
1,11
1,12
1,13
1,14
1,22
1,48
1,66
1,96
2,3
2,4
2,5
2,6
2,7
2,8
2,9
2,10
2,11
2,12
2,13
2,14
2,22
2,28
2,25
2,48
2,66
2,81
2,98
2,104
3,4
3,5
3,6
3,7
3,8
3,9
3,10
3,11
3,12
3,14
4,6
4,8
4,9
4,10
4,11
4,12
4,14
5,7
5,12
5,13
5,14
6,8
6,9
6,10
6,11
6,14
6,97
7,12
7,13
8,9
8,10
8,11
9,10
9,11
10,11
12,13
15,16
15,17
15,18
15,20
15,21
15,24
15,25
15,26
15,28
15,29
15,30
15,31
15,33
15,34
15,43
15,66
16,17
16,18
16,19
16,22
16,23
16,24
16,25
16,26
16,27
16,28
16,29
16,30
16,32
16,33
16,34
16,35
16,36
16,37
16,38
16,39
16,40
16,41
16,42
16,43
16,44
16,45
16,46
16,47
16,48
16,49
16,50
16,51
16,52
16,53
16,54
16,56
16,58
16,59
16,60
16,61
16,62
16,63
16,64
16,65
16,66
16,67
16,68
16,69
16,70
16,71
16,72
16,73
16,74
16,75
16,76
16,77
16,78
16,79
16,80
16,81
16,82
16,83
16,98
16,99
16,100
16,101
16,102
16,104
17,18
17,19
17,22
17,23
17,24
17,25
17,26
17,28
17,29
17,32
17,33
17,34
17,36
17,37
17,38
17,40
17,41
17,42
17,43
17,44
17,45
17,46
17,47
17,48
17,49
17,50
17,51
17,52
17,53
17,54
17,56
17,57
17,58
17,59
17,60
17,61
17,62
17,63
17,64
17,65
17,66
17,67
17,68
17,69
17,70
17,71
17,72
17,73
17,74
17,75
17,76
17,77
17,78
17,79
17,80
17,81
17,82
17,83
17,98
17,100
17,101
17,102
17,103
18,19
18,24
18,25
18,26
18,27
18,28
18,29
18,30
18,34
18,36
18,66
18,100
18,104
19,20
19,21
19,22
19,24
19,26
19,27
19,28
19,29
19,30
19,32
19,33
19,34
19,36
20,21
20,25
21,24
21,25
22,24
22,25
22,30
22,32
22,33
22,34
22,35
22,37
22,44
22,46
22,52
22,59
22,60
22,61
22,62
22,63
22,69
22,72
22,73
22,75
22,78
22,80
22,82
22,83
23,24
23,25
23,28
23,29
23,30
23,32
23,33
23,34
23,35
23,37
23,38
23,39
23,40
23,41
23,42
23,43
23,44
23,45
23,46
23,47
23,48
23,49
23,50
23,51
23,52
23,53
23,54
23,56
23,57
23,58
23,59
23,60
23,61
23,62
23,63
23,64
23,65
23,66
23,67
23,68
23,69
23,70
23,71
23,73
23,74
23,76
23,77
23,82
23,83
24,25
24,26
24,27
24,28
24,29
24,30
24,31
24,32
24,33
24,34
24,35
24,36
24,43
24,66
24,98
24,100
25,26
25,27
25,28
25,29
25,30
25,31
25,34
25,36
25,38
25,39
25,40
25,41
25,42
25,43
25,44
25,45
25,46
25,47
25,48
25,49
25,50
25,51
25,53
25,54
25,56
25,58
25,59
25,60
25,61
25,62
25,63
25,64
25,65
25,66
25,67
25,68
25,69
25,70
25,71
25,74
25,75
25,76
25,77
25,78
25,79
25,80
25,98
25,100
25,101
25,102
25,103
26,27
26,29
26,28
26,30
26,31
26,33
26,34
26,35
26,36
26,73
26,99
27,28
27,29
27,30
27,32
27,33
27,34
27,36
27,37
28,29
28,30
28,34
28,36
28,38
28,39
28,41
28,42
28,43
28,44
28,45
28,46
28,48
28,49
28,50
28,51
28,52
28,53
28,54
28,56
28,58
28,59
28,60
28,61
28,62
28,63
28,64
28,65
28,66
28,67
28,68
28,69
28,70
28,71
28,72
28,73
28,74
28,75
28,76
28,77
28,79
28,80
28,81
28,82
28,83
28,101
29,30
29,33
29,34
29,36
29,64
29,66
29,73
29,76
29,99
30,32
30,33
30,34
30,35
30,40
30,62
30,73
31,62
32,33
32,34
32,35
32,36
32,37
32,52
32,73
33,34
33,35
34,35
34,36
34,37
34,38
34,40
34,42
34,43
34,45
34,48
34,49
34,50
34,53
34,56
34,62
34,67
34,68
34,73
34,80
36,73
36,99
37,38
37,40
37,46
37,47
37,48
37,51
37,52
37,54
37,57
37,58
37,64
37,76
37,80
37,81
37,82
38,40
38,41
38,42
38,43
38,45
38,46
38,47
38,48
38,49
38,50
38,51
38,53
38,56
38,57
38,58
38,59
38,60
38,61
38,62
38,63
38,64
38,65
38,66
38,67
38,68
38,69
38,72
38,75
38,76
38,77
38,78
38,79
38,80
38,81
38,83
38,98
38,100
39,41
39,42
39,43
39,46
39,53
39,62
39,66
39,70
39,71
39,74
39,77
39,101
40,42
40,41
40,43
40,45
40,47
40,48
40,49
40,50
40,51
40,53
40,45
40,56
40,57
40,58
40,62
40,64
40,65
40,66
40,67
40,68
40,76
40,80
40,83
41,42
41,43
41,48
41,49
41,50
41,51
41,53
41,54
41,56
41,58
41,62
41,64
41,66
41,68
41,69
41,76
41,100
41,102
42,43
42,44
42,45
42,46
42,47
42,48
42,49
42,50
42,51
42,53
42,54
42,55
42,56
42,57
42,58
42,59
42,60
42,61
42,62
42,63
42,64
42,65
42,66
42,67
42,68
42,69
42,70
42,71
42,74
42,75
42,76
42,77
42,78
42,100
42,101
42,102
42,98
43,45
43,46
43,48
43,49
43,50
43,51
43,53
43,54
43,56
43,58
43,59
43,60
43,61
43,62
43,63
43,46
43,66
43,68
43,69
43,70
43,71
43,74
43,75
43,76
43,77
43,78
43,98
43,100
43,101
43,102
43,103
44,55
44,59
44,60
44,61
44,63
44,69
44,78
44,79
44,80
44,98
45,47
45,48
45,49
45,50
45,51
45,56
45,57
45,58
45,66
45,67
45,68
46,47
46,48
46,49
46,50
46,51
46,53
46,54
46,55
46,56
46,57
46,58
46,59
46,60
46,61
46,62
46,63
46,66
46,68
46,70
46,41
46,74
46,77
46,81
46,82
46,83
46,100
46,102
46,105
47,48
47,49
47,50
47,51
47,53
47,54
47,55
47,56
47,57
47,58
47,64
47,65
47,66
47,70
47,71
47,74
47,75
47,76
47,75
47,77
47,82
47,101
48,49
48,50
48,51
48,53
48,54
48,55
48,56
48,57
48,58
48,59
48,60
48,61
48,62
48,63
48,64
48,65
48,66
48,67
48,68
48,69
48,70
48,71
48,72
48,75
48,76
48,77
48,79
48,81
48,82
49,50
49,51
49,53
49,54
49,56
49,58
49,62
49,63
49,64
49,66
49,68
49,76
49,77
49,80
49,83
49,82
49,100
50,51
50,53
50,54
50,55
50,56
50,57
50,58
50,60
50,61
50,62
50,64
50,68
50,70
50,71
50,75
50,76
50,77
50,100
51,54
51,58
51,64
51,66
51,68
51,69
51,70
51,71
51,76
51,77
52,53
52,55
52,58
52,59
52,60
52,61
52,63
52,72
52,73
52,74
52,76
52,78
52,79
52,80
52,82
52,83
53,54
53,56
53,58
53,59
53,60
53,61
53,62
53,63
53,64
53,66
53,68
53,69
53,70
53,71
53,74
53,75
53,77
